Entity,Code,Year,Marine protected areas (% of territorial waters)
Iceland,ISL,2020,0.4211060106754303
Iceland,ISL,2021,0.42458078265190125
India,IND,2016,0.170691579580307
India,IND,2017,0.1707058548927307
India,IND,2018,0.1707058548927307
India,IND,2019,0.17070600390434265
India,IND,2020,0.17070600390434265
India,IND,2021,0.24088314175605774
Indonesia,IDN,2016,2.882554054260254
Indonesia,IDN,2017,3.0573232173919678
Indonesia,IDN,2018,3.0573232173919678
Indonesia,IDN,2019,3.0573320388793945
Indonesia,IDN,2020,3.0576000213623047
Indonesia,IDN,2021,3.057600498199463
Iran,IRN,2016,0.8047131299972534
Iran,IRN,2017,0.8045534491539001
Iran,IRN,2018,0.8045534491539001
Iran,IRN,2019,0.8045549988746643
Iran,IRN,2020,0.8045549988746643
Iran,IRN,2021,0.8045547604560852
Iraq,IRQ,2017,0
Iraq,IRQ,2018,0
Ireland,IRL,2016,2.3323235511779785
Ireland,IRL,2017,2.332110643386841
Ireland,IRL,2018,2.332110643386841
Ireland,IRL,2019,2.3321421146392822
Ireland,IRL,2020,2.331835985183716
Ireland,IRL,2021,2.331835985183716
Isle of Man,IMN,2016,0
Isle of Man,IMN,2021,100
Israel,ISR,2016,0.03231017664074898
Israel,ISR,2017,0.03255193680524826
Israel,ISR,2018,0.03255193680524826
Israel,ISR,2019,0.032552000135183334
Israel,ISR,2020,0.042507000267505646
Israel,ISR,2021,0.04250682145357132
Italy,ITA,2016,8.78357219696045
Italy,ITA,2017,8.794648170471191
Italy,ITA,2018,8.794648170471191
Italy,ITA,2019,8.77793025970459
Italy,ITA,2020,9.735906600952148
Italy,ITA,2021,9.735966682434082
Jamaica,JAM,2016,0.7545990943908691
Jamaica,JAM,2017,0.7545972466468811
Jamaica,JAM,2018,0.7545972466468811
Jamaica,JAM,2019,0.7545959949493408
Jamaica,JAM,2020,0.7545959949493408
Jamaica,JAM,2021,0.7544643878936768
Japan,JPN,2016,0.4934920370578766
Japan,JPN,2017,8.23376178741455
Japan,JPN,2018,8.23376178741455
Japan,JPN,2019,8.23376178741455
Japan,JPN,2020,8.233667373657227
Japan,JPN,2021,13.89171028137207
Jordan,JOR,2016,35.21878433227539
Jordan,JOR,2017,35.590911865234375
Jordan,JOR,2018,35.590911865234375
Jordan,JOR,2019,35.717838287353516
Jordan,JOR,2020,0.9820709824562073
Jordan,JOR,2021,0.9820715188980103
Kazakhstan,KAZ,2016,1.0496704578399658
Kazakhstan,KAZ,2017,1.0492124557495117
Kazakhstan,KAZ,2018,1.0492124557495117
Kazakhstan,KAZ,2019,1.0492119789123535
Kazakhstan,KAZ,2020,50.72808837890625
Kazakhstan,KAZ,2021,50.728092193603516
Kenya,KEN,2016,0.8042675852775574
Kenya,KEN,2017,0.8041839599609375
Kenya,KEN,2018,0.8041839599609375
Kenya,KEN,2019,0.8041809797286987
Kenya,KEN,2020,0.7628769874572754
Kenya,KEN,2021,0.7628775238990784
Kiribati,KIR,2016,11.814154624938965
Kiribati,KIR,2017,11.817900657653809
Kiribati,KIR,2018,11.817900657653809
Kiribati,KIR,2019,11.817899703979492
Kiribati,KIR,2020,11.817899703979492
Kiribati,KIR,2021,11.815164566040039
Kuwait,KWT,2016,1.4795137643814087
Kuwait,KWT,2017,1.4792757034301758
Kuwait,KWT,2018,1.4792757034301758
Kuwait,KWT,2019,1.3642539978027344
Kuwait,KWT,2020,1.3642539978027344
Kuwait,KWT,2021,1.364254355430603
Latin America and Caribbean,,2016,2.7349965572357178
Latin America and Caribbean,,2017,17.537622451782227
Latin America and Caribbean,,2018,17.537622451782227
Latvia,LVA,2016,16.035541534423828
Latvia,LVA,2017,16.036361694335938
Latvia,LVA,2018,16.036361694335938
Latvia,LVA,2019,16.036609649658203
Latvia,LVA,2020,16.03788948059082
Latvia,LVA,2021,16.037357330322266
Lebanon,LBN,2016,0.21226146817207336
Lebanon,LBN,2017,0.21142858266830444
Lebanon,LBN,2018,0.21142858266830444
Lebanon,LBN,2019,0.21142999827861786
Lebanon,LBN,2020,0.21142999827861786
Lebanon,LBN,2021,0.225288525223732
Liberia,LBR,2016,0.10170817375183105
Liberia,LBR,2017,0.10334248840808868
Liberia,LBR,2018,0.10334248840808868
Liberia,LBR,2019,0.10334300249814987
Liberia,LBR,2020,0.10334300249814987
Liberia,LBR,2021,0.10334262251853943
Libya,LBY,2016,0.6364989876747131
Libya,LBY,2017,0.6364299058914185
Libya,LBY,2018,0.6364299058914185
Libya,LBY,2019,0.6364290118217468
Libya,LBY,2020,0.6336789727210999
Libya,LBY,2021,0.6336792707443237
Lithuania,LTU,2016,21.51590919494629
Lithuania,LTU,2017,25.591026306152344
Lithuania,LTU,2018,25.591026306152344
Lithuania,LTU,2019,25.592470169067383
Lithuania,LTU,2020,25.592470169067383
Lithuania,LTU,2021,25.593271255493164
Low and middle income,,2016,2.658397912979126
Low and middle income,,2017,6.259242057800293
Low and middle income,,2018,6.259244918823242
Lower middle income,,2016,1.3424904346466064
Lower middle income,,2017,1.4402861595153809
Lower middle income,,2018,1.4402146339416504
Madagascar,MDG,2016,0.357265830039978
Madagascar,MDG,2017,0.7461844682693481
Madagascar,MDG,2018,0.7461844682693481
Madagascar,MDG,2019,0.7461850047111511
Madagascar,MDG,2020,0.9137279987335205
Madagascar,MDG,2021,0.913727879524231
Malaysia,MYS,2016,1.4074420928955078
Malaysia,MYS,2017,1.5446206331253052
Malaysia,MYS,2018,1.5446206331253052
Malaysia,MYS,2019,1.544437050819397
Malaysia,MYS,2020,3.3050169944763184
Malaysia,MYS,2021,5.55612850189209
Maldives,MDV,2016,0.048692673444747925
Maldives,MDV,2017,0.051505036652088165
Maldives,MDV,2018,0.051505036652088165
Maldives,MDV,2019,0.05150499939918518
Maldives,MDV,2020,0.0675949975848198
Maldives,MDV,2021,0.06759510934352875
Malta,MLT,2016,6.264285087585449
Malta,MLT,2017,6.270051002502441
Malta,MLT,2018,6.270051002502441
Malta,MLT,2019,7.444798946380615
Malta,MLT,2020,7.444940090179443
Malta,MLT,2021,7.444803237915039
Marshall Islands,MHL,2016,0.2687835097312927
Marshall Islands,MHL,2017,0.26880329847335815
Marshall Islands,MHL,2018,0.26880329847335815
Marshall Islands,MHL,2019,0.2688030004501343
Marshall Islands,MHL,2020,0.2688030004501343
Marshall Islands,MHL,2021,0.26880326867103577
Mauritania,MRT,2016,4.15370512008667
Mauritania,MRT,2017,4.1534342765808105
Mauritania,MRT,2018,4.1534342765808105
Mauritania,MRT,2019,4.153438091278076
Mauritania,MRT,2020,4.153438091278076
Mauritania,MRT,2021,4.153437614440918
Mauritius,MUS,2016,0.003906042082235217
Mauritius,MUS,2017,0.003878225339576602
Mauritius,MUS,2018,0.003878225339576602
Mauritius,MUS,2019,0.003877999959513545
Mauritius,MUS,2020,0.003877999959513545
Mauritius,MUS,2021,0.00387822394259274
Mexico,MEX,2016,2.2514052391052246
Mexico,MEX,2017,21.782020568847656
Mexico,MEX,2018,21.782020568847656
Mexico,MEX,2019,21.55340003967285
Mexico,MEX,2020,21.553390502929688
Mexico,MEX,2021,21.553394317626953
Micronesia (country),FSM,2016,0.01756356470286846
Micronesia (country),FSM,2017,0.01577237993478775
Micronesia (country),FSM,2018,0.01577237993478775
Micronesia (country),FSM,2019,0.015771999955177307
Micronesia (country),FSM,2020,0.015771999955177307
Micronesia (country),FSM,2021,0.01577237993478775
Middle East and North Africa,,2016,1.3968853950500488
Middle East and North Africa,,2017,1.5826849937438965
Middle East and North Africa,,2018,1.5826849937438965
Middle income,,2016,2.4629011154174805
Middle income,,2017,6.4066057205200195
Middle income,,2018,6.406610012054443
Monaco,MCO,2016,99.92962646484375
Monaco,MCO,2017,99.83199310302734
Monaco,MCO,2018,99.83199310302734
Monaco,MCO,2019,99.75462341308594
Monaco,MCO,2020,99.75462341308594
Monaco,MCO,2021,99.71312713623047
Montenegro,MNE,2017,0.001219431753270328
Montenegro,MNE,2018,0.001219431753270328
Montenegro,MNE,2019,0.13991400599479675
Montenegro,MNE,2020,0.07214599847793579
Montenegro,MNE,2021,0.07214579731225967
Morocco,MAR,2016,0.46064192056655884
Morocco,MAR,2017,0.25998446345329285
Morocco,MAR,2018,0.25998446345329285
Morocco,MAR,2019,0.25998398661613464
Morocco,MAR,2020,0.6896119713783264
Morocco,MAR,2021,0.675621509552002
Mozambique,MOZ,2016,2.2320308685302734
Mozambique,MOZ,2017,2.2320308685302734
Mozambique,MOZ,2018,2.2320308685302734
Mozambique,MOZ,2019,2.232032060623169
Mozambique,MOZ,2020,2.145914077758789
Mozambique,MOZ,2021,2.145914077758789
Myanmar,MMR,2016,0.05231964588165283
Myanmar,MMR,2017,2.32704758644104
Myanmar,MMR,2018,2.32704758644104
Myanmar,MMR,2019,0.47783899307250977
Myanmar,MMR,2020,0.47783899307250977
Myanmar,MMR,2021,0.47783902287483215
Namibia,NAM,2016,1.7141509056091309
Namibia,NAM,2017,1.7141984701156616
Namibia,NAM,2018,1.7141984701156616
Namibia,NAM,2019,1.7142000198364258
Namibia,NAM,2020,1.7142000198364258
Namibia,NAM,2021,1.7141996622085571
Netherlands,NLD,2016,21.490537643432617
Netherlands,NLD,2017,26.674686431884766
Netherlands,NLD,2018,26.674686431884766
Netherlands,NLD,2019,26.862340927124023
Netherlands,NLD,2020,26.86294937133789
Netherlands,NLD,2021,26.858734130859375
New Caledonia,NCL,2016,96.34122467041016
New Caledonia,NCL,2017,96.59333801269531
New Caledonia,NCL,2018,96.59333801269531
New Caledonia,NCL,2019,96.26024627685547
New Caledonia,NCL,2020,96.26024627685547
New Caledonia,NCL,2021,96.26024627685547
New Zealand,NZL,2016,30.343000411987305
New Zealand,NZL,2017,30.371109008789062
New Zealand,NZL,2018,30.371109008789062
New Zealand,NZL,2019,30.422719955444336
New Zealand,NZL,2020,30.421539306640625
New Zealand,NZL,2021,30.421539306640625
Nicaragua,NIC,2016,2.930758476257324
Nicaragua,NIC,2017,2.974231481552124
Nicaragua,NIC,2018,2.974231481552124
