Code,Entity,Urban_Rural,POPULATION1990PCT,POPULATION2000PCT,POPULATION2010PCT
SJM,Svalbard,RURAL,95,97,0
SJM,Svalbard,URBAN,0,0,0
SLB,Solomon Islands,RURAL,73,73,73
SLB,Solomon Islands,URBAN,11,12,12
SLE,Sierra Leone,RURAL,7,7,7
SLE,Sierra Leone,URBAN,16,17,18
SLV,El Salvador,RURAL,8,8,8
SLV,El Salvador,URBAN,2,2,2
SMR,San Marino,RURAL,0,0,0
SMR,San Marino,URBAN,0,0,0
SOM,Somalia,RURAL,13,14,14
SOM,Somalia,URBAN,7,9,9
SPM,Saint Pierre and Miquelon,RURAL,100,100,100
SPM,Saint Pierre and Miquelon,URBAN,0,0,0
STP,Sao Tome and Principe,RURAL,37,27,27
STP,Sao Tome and Principe,URBAN,59,70,70
SUR,Suriname,RURAL,3,2,2
SUR,Suriname,URBAN,49,52,52
SVK,Slovakia,RURAL,0,0,0
SVK,Slovakia,URBAN,0,0,0
SVN,Slovenia,RURAL,1,1,1
SVN,Slovenia,URBAN,4,4,4
SWE,Sweden,RURAL,6,6,6
SWE,Sweden,URBAN,18,19,19
SWZ,Swaziland,RURAL,0,0,0
SWZ,Swaziland,URBAN,0,0,0
SYC,Seychelles,RURAL,31,31,0
SYC,Seychelles,URBAN,69,69,0
SYR,Syrian Arab Republic,RURAL,2,2,2
SYR,Syrian Arab Republic,URBAN,3,3,3
TCA,Turks and Caicos Islands,RURAL,70,73,72
TCA,Turks and Caicos Islands,URBAN,30,27,28
TCD,Chad,RURAL,0,0,0
TCD,Chad,URBAN,0,0,0
TGO,Togo,RURAL,1,1,1
TGO,Togo,URBAN,16,17,17
THA,Thailand,RURAL,4,5,5
THA,Thailand,URBAN,3,4,3
TJK,Tajikistan,RURAL,0,0,0
TJK,Tajikistan,URBAN,0,0,0
TKL,Tokelau,RURAL,100,100,100
TKL,Tokelau,URBAN,0,0,0
TKM,Turkmenistan,RURAL,0,0,0
TKM,Turkmenistan,URBAN,0,0,0
TLS,East Timor,RURAL,44,43,42
TLS,East Timor,URBAN,10,11,11
TON,Tonga,RURAL,51,50,50
TON,Tonga,URBAN,49,50,50
TTO,Trinidad and Tobago,RURAL,13,13,13
TTO,Trinidad and Tobago,URBAN,55,55,55
TUN,Tunisia,RURAL,3,4,4
TUN,Tunisia,URBAN,26,26,26
TUR,Turkey,RURAL,1,1,1
TUR,Turkey,URBAN,5,5,5
TUV,Tuvalu,RURAL,100,100,0
TUV,Tuvalu,URBAN,0,0,0
TWN,Taiwan,RURAL,3,2,2
TWN,Taiwan,URBAN,39,39,39
TZA,United Rep. of Tanzania,RURAL,4,3,3
TZA,United Rep. of Tanzania,URBAN,5,6,6
UGA,Uganda,RURAL,0,0,0
UGA,Uganda,URBAN,0,0,0
UKR,Ukraine,RURAL,0,0,0
UKR,Ukraine,URBAN,0,0,0
URY,Uruguay,RURAL,2,2,2
URY,Uruguay,URBAN,42,42,41
USA,United States of America,RURAL,0,0,0
USA,United States of America,URBAN,12,12,12
UZB,Uzbekistan,RURAL,0,0,0
UZB,Uzbekistan,URBAN,0,0,0
VAT,Holy See (Vatican),RURAL,0,0,0
VAT,Holy See (Vatican),URBAN,0,0,0
VCT,Saint Vincent,RURAL,70,70,70
VCT,Saint Vincent,URBAN,30,30,30
VEN,Venezuela,RURAL,5,5,5
VEN,Venezuela,URBAN,18,17,17
VGB,British Virgin Islands,RURAL,43,43,43
VGB,British Virgin Islands,URBAN,57,57,57
VIR,United States Virgin Islands,RURAL,7,7,7
VIR,United States Virgin Islands,URBAN,93,93,93
VNM,Viet Nam,RURAL,12,12,12
VNM,Viet Nam,URBAN,4,4,4
VUT,Vanuatu,RURAL,73,70,70
VUT,Vanuatu,URBAN,21,24,24
WLF,Wallis and Futuna,RURAL,100,100,100
WLF,Wallis and Futuna,URBAN,0,0,0
WSM,Western Samoa,RURAL,43,42,42
WSM,Western Samoa,URBAN,51,53,53
YEM,Yemen,RURAL,4,4,4
YEM,Yemen,URBAN,4,4,4
ZAF,South Africa,RURAL,1,1,1
ZAF,South Africa,URBAN,12,12,12
ZMB,Zambia,RURAL,0,0,0
ZMB,Zambia,URBAN,0,0,0
ZWE,Zimbabwe,RURAL,0,0,0
ZWE,Zimbabwe,URBAN,0,0,0
